id,event_type,latitude,longitude,endlatitude,endlongitude,address,end_address,event_cause,requires_road_closure,start_datetime,end_datetime,status,authenticated,modified_datetime,map_file,direction,description,veh_type,veh_no,corridor,priority,cargo_material,reason_breakdown,age_of_truck,created_date,route_path,client_id,created_by_id,last_modified_by_id,assigned_to_police_id,citizen_accident_id,comment,police_station,meta_data,kgid,resolved_at_address,resolved_at_latitude,resolved_at_longitude,closed_by_id,closed_datetime,resolved_by_id,resolved_datetime,gba_identifier,zone,junction,resolution_time_mins
FKID002466,unplanned,13.1247059,77.5743002,0.0,0.0,"DVN MD 6, Assetz The Secret Lake, Devanahalli, Bengaluru Rural District, Karnataka. Pin-562110 (India)",,vehicle_breakdown,False,2024-03-21 06:15:17.349+00,,closed,no,2024-03-21 07:10:22.906412+00,,,[LOCATION] to wards yalahanka bmtc bus starting problem sir,bmtc_bus,FKN00GL1335,Non-corridor,Low,,,,2024-03-21 06:16:40.322390+00:00,,1,FKUSR00105,FKUSR00001,,,,Yelahanka,,FKKG000099,"DVN MD 6, Assetz The Secret Lake, Devanahalli, Bengaluru Rural District, Karnataka. Pin-562110 (India)",13.2270939,77.5734009,FKUSR00105,2024-03-21 07:10:22.905834+00,FKUSR01099,2024-03-21 06:43:01.592589+00:00,,,,26.35450331666667
FKID002806,unplanned,12.9944876,77.6180296,0.0,0.0,"Assayee Road, Sham Mansion Apartment, Cox Town, Bengaluru, Karnataka. Pin-560005 (India)",,water_logging,False,2024-03-07 06:25:24.212+00,,resolved,yes,2024-03-07 07:37:33.269207+00,,,ತುಂಬಾ ಮಳೆ ಬಂದಿರುವುದರಿಂದ ಅಸ್ಸಯೇ ಜಂಕ್ಷನ್ ಲ್ಲಿ ತಾತ್ಕಾಲಿಕ ವಾಗಿ ವಾಟರ್ ಲಾಗಿಂಗ್ ಆಗಿದೆ,,,Non-corridor,Low,,,,2024-03-07 06:28:05.396127+00:00,,1,FKUSR01180,FKUSR00001,,,,Pulikeshinagar(F.Town),,FKKG001140,"Assayee Road, Sham Mansion Apartment, Cox Town, Bengaluru, Karnataka. Pin-560005 (India)",12.9944876,77.6180296,,,FKUSR01180,2024-03-07 07:37:33.268666+00:00,,,,69.46454231666667
FKID002867,unplanned,12.974343,77.5512833,12.9742021,77.5518789,"G Narayana Kumar Road, Police Quarters, Cholurpalya, Bengaluru, Karnataka. Pin-560023 (India)","G Narayana Kumar Road, Mehta Ambience, Manjunatha Nagar, Cholurpalya, Bengaluru, Karnataka. Pin-560023 (India)",others,True,2024-03-07 06:08:32.505+00,,resolved,yes,2024-03-07 06:48:27.107223+00,,,due to fall of cutout infront of [LOCATION] vehicles mevement restricted from Prasanna junction to Prasanna theatre busstop...,,,West of Chord Road,High,,,,2024-03-07 06:12:58.859157+00:00,,1,FKUSR01167,FKUSR00001,,,,Magadi Road,,FKKG001127,"G Narayana Kumar Road, Police Quarters, Cholurpalya, Bengaluru, Karnataka. Pin-560023 (India)",12.974343,77.5512833,,,FKUSR01167,2024-03-07 06:48:27.106646+00:00,,,,35.47079148333333
FKID002939,unplanned,12.9391583,77.5800661,0.0,0.0,"RV Road, Parasmani Regency, Block 2, Jayanagar East, Bengaluru, Karnataka. Pin-560011 (India)",,tree_fall,False,2024-03-07 08:38:27.649+00,,resolved,yes,2024-03-09 07:28:13.447793+00,,,tree falling at [LOCATION] sir. no vehicle damaged sir. traffic one side moving sir..,,,Non-corridor,Low,,,,2024-03-07 08:42:44.091002+00:00,,1,FKUSR00676,FKUSR00001,,,,Basavanagudi,,FKKG000660,"RV Road, Parasmani Regency, Block 2, Jayanagar East, Bengaluru, Karnataka. Pin-560011 (India)",12.9391583,77.5800661,,,FKUSR00313,2024-03-09 07:28:13.447034+00:00,,,,2805.4892672
FKID003221,unplanned,13.184156,77.5666322,0.0,0.0,"Unnamed Road, Kempegowda Layout, Adiganahalli, Bengaluru, Karnataka. Pin-560064 (India)",,vehicle_breakdown,False,2024-03-29 01:05:19.31+00,,resolved,yes,2024-03-29 02:07:31.667399+00,,,BMTC bus  off road mall of [LOCATION] gate offocite,bmtc_bus,FKN00GL1648,Bellary Road 2,High,,,,2024-03-29 01:09:05.181380+00:00,,1,FKUSR00005,FKUSR00001,,,,Kodigehalli,,FKKG000663,"Unnamed Road, Kempegowda Layout, Adiganahalli, Bengaluru, Karnataka. Pin-560064 (India)",13.184156,77.5666322,,,FKUSR00639,2024-03-29 02:07:11.710457+00:00,,,,58.10881795
FKID003323,unplanned,12.9463182,77.6025017,0.0,0.0,"Bannerghatta Main Road, Eramma Layout, Adugodi, Bengaluru, Karnataka. Pin-560030 (India)",,others,False,2024-03-29 21:45:41.038+00,,resolved,yes,2024-03-29 22:43:19.472929+00,,,KMF vehicle park in  mainroad no driver traffic movement slow in bg road near [LOCATION] sir 🙏,,,Non-corridor,Low,,,,2024-03-29 21:47:25.919221+00:00,,1,FKUSR01286,FKUSR00001,,,,Adugodi,,FKKG001246,"Bannerghatta Main Road, Eramma Layout, Adugodi, Bengaluru, Karnataka. Pin-560030 (India)",12.9463182,77.6025017,,,FKUSR01286,2024-03-29 22:43:19.472212+00:00,,,,55.89254985
FKID003446,unplanned,12.8415683,77.644615,0.0,0.0,"Neeladri Road, Himagiri Residency, Bettadasanapura, Bengaluru, Karnataka. Pin-560100 (India)",,pot_holes,False,2024-03-31 04:18:43.684+00,,resolved,yes,2024-04-02 22:33:50.470476+00,,,ದೊಡ್ಡದಾದ ರಸ್ತೆಗುಂಡಿ ಬಿದ್ದಿದ್ದು ಸಂಚಾರವು ನಿಧಾನಗತಿಯಲ್ಲಿ ಸಾಗುತ್ತಿರುತ್ತದೆ ಸರ್,,,Non-corridor,Low,,,,2024-03-31 04:21:50.789563+00:00,,1,FKUSR00199,FKUSR00009,,,,Electronic City,,FKKG000191,"Neeladri Road, Himagiri Residency, Bettadasanapura, Bengaluru, Karnataka. Pin-560100 (India)",12.8415683,77.644615,,,FKUSR00199,2024-04-02 22:33:50.469479+00:00,,,,3971.9946652666667
FKID004160,unplanned,13.1827536,77.5739465,0.0,0.0,"Unnamed Road, T Agrahara, Bengaluru, Karnataka. Pin-562157 (India)",,vehicle_breakdown,False,2023-12-16 20:31:11.475+00,,resolved,yes,2023-12-16 20:57:58.678388+00,,,[PERSON] jam sir,bmtc_bus,FKN00GL2062,Bellary Road 2,High,,,,2023-12-16 20:31:49.649399+00:00,,1,FKUSR00224,FKUSR00001,,,,Kodigehalli,,FKKG000216,"Unnamed Road, T Agrahara, Bengaluru, Karnataka. Pin-562157 (India)",13.1827536,77.5739465,,,FKUSR00639,2023-12-16 20:56:17.198315+00:00,,,,24.4591486
FKID004257,unplanned,12.8713593,77.530622,0.0,0.0,"24th Main Road, Shravanthi Oakridge Villas, Adarsh Layout, Lingadheeranahalli Andhrahalli, Bengaluru, Karnataka. Pin-560109 (India)",,vehicle_breakdown,False,2023-11-29 07:19:36.539+00,,resolved,yes,2023-11-29 08:51:00.996875+00,,,Due to starting problem,bmtc_bus,FKN00GL0075,ORR North 2,High,,,,2023-11-29 07:21:09.788021+00:00,,1,FKUSR00582,FKUSR00001,,,,Jalahalli,,FKKG000570,"24th Main Road, Shravanthi Oakridge Villas, Adarsh Layout, Lingadheeranahalli Andhrahalli, Bengaluru, Karnataka. Pin-560109 (India)",12.8713593,77.530622,,,FKUSR01448,2023-11-29 08:51:00.996253+00:00,Bengaluru South Corporation,South Zone 1,,89.85347053333334
FKID004349,unplanned,12.9658795,77.5049199,0.0,0.0,"Kengeri Main Road, Kengunta, Mallathahalli, Bengaluru, Karnataka. Pin-560056 (India)",,vehicle_breakdown,False,2024-01-06 22:49:07.567+00,,resolved,yes,2024-01-06 23:35:16.044386+00,,,Break down sir,bmtc_bus,FKN00GL2169,Non-corridor,Low,,,,2024-01-06 22:50:31.976864+00:00,,1,FKUSR00767,FKUSR00001,,,,Jnanabharathi,,FKKG000751,"Kengeri Main Road, Kengunta, Mallathahalli, Bengaluru, Karnataka. Pin-560056 (India)",12.9658795,77.5049199,,,FKUSR00169,2024-01-06 23:35:16.043801+00:00,Bengaluru West Corporation,West Zone 1,,44.73444895
FKID004524,unplanned,13.0486094,77.5137389,0.0,0.0,"2nd Main Road, Maleshwaramma Nagar, T Dasarahalli, Bengaluru, Karnataka. Pin-560057 (India)",,vehicle_breakdown,False,2023-12-07 04:34:45.418+00,,resolved,yes,2023-12-07 06:11:31.471763+00,,,NR Road Towards Marcket,bmtc_bus,FKN00GL2257,Mysore Road,High,,,,2023-12-07 04:36:01.126133+00:00,,1,FKUSR00921,FKUSR00001,,,,Halasuru Gate,,FKKG000900,"2nd Main Road, Maleshwaramma Nagar, T Dasarahalli, Bengaluru, Karnataka. Pin-560057 (India)",13.0486094,77.5137389,,,FKUSR01493,2023-12-07 06:11:31.471167+00:00,Bengaluru North Corporation,North Zone 2,,95.50575056666666
FKID004562,unplanned,12.9621653,77.5642902,0.0,0.0,"Mysore Road, Sirsi Circle, Chamarajpet, Bengaluru, Karnataka. Pin-560018 (India)",,vehicle_breakdown,False,2023-12-07 22:19:56.906+00,,closed,no,2023-12-07 23:22:15.840667+00,,,Traffic no problem side alli ide,bmtc_bus,FKN00GL2278,Mysore Road,High,,,,2023-12-07 22:20:58.502666+00:00,,1,FKUSR00430,FKUSR00001,,,,Chamarajpet,,FKKG000419,"Mysore Road, Sirsi Circle, Chamarajpet, Bengaluru, Karnataka. Pin-560018 (India)",12.9615351,77.5621059,FKUSR00430,2023-12-07 23:22:15.840098+00,FKUSR00408,2023-12-07 23:13:16.632842+00:00,Bengaluru Central Corporation,Central Zone 2,,52.3021696
FKID004612,unplanned,12.9039683,77.5105667,0.0,0.0,"Dr Vishnuvardhan Main Road, Kanakadas Circle, Gaanakallu, Bengaluru, Karnataka. Pin-560060 (India)",,vehicle_breakdown,False,2023-11-17 20:22:41.42+00,,closed,yes,2023-11-17 21:02:18.134108+00,,,Gear rod cutt thats while traffic slow moveing,bmtc_bus,FKN00GL2305,Non-corridor,Low,,,,2023-11-17 20:24:14.075127+00:00,,1,FKUSR01509,FKUSR00001,,,,Kengeri,,FKKG001441,"Dr Vishnuvardhan Main Road, Kanakadas Circle, Gaanakallu, Bengaluru, Karnataka. Pin-560060 (India)",12.9042379,77.5111455,FKUSR01509,2023-11-17 21:02:18.133554+00,FKUSR01509,2023-11-17 21:01:58.649989+00:00,Bengaluru West Corporation,West Zone 1,,37.74291436666667
FKID004731,unplanned,13.0845542,77.5501542,0.0,0.0,"1st Cross Road, Prosperhomes Bliss, Aditya Nagar, Chikkabettahalli, Bengaluru, Karnataka. Pin-560097 (India)",,vehicle_breakdown,False,2023-11-21 08:29:29.201+00,,resolved,yes,2023-11-21 10:01:52.803894+00,,,Joint cut problem sir,bmtc_bus,FKN00GL2363,Non-corridor,Low,,,,2023-11-21 08:30:18.784870+00:00,,1,FKUSR00458,FKUSR00001,,,,Yeshwanthpura,,FKKG000447,"1st Cross Road, Prosperhomes Bliss, Aditya Nagar, Chikkabettahalli, Bengaluru, Karnataka. Pin-560097 (India)",13.0845542,77.5501542,,,FKUSR00648,2023-11-21 10:01:52.803351+00:00,Bengaluru North Corporation,North Zone 2,,91.56697468333333
FKID004764,unplanned,13.0486085,77.513748,0.0,0.0,"2nd Main Road, Maleshwaramma Nagar, T Dasarahalli, Bengaluru, Karnataka. Pin-560057 (India)",,vehicle_breakdown,False,2023-11-22 08:53:45.376+00,,resolved,yes,2023-11-22 09:06:38.016344+00,,,Slow movements,bmtc_bus,FKN00GL2380,Non-corridor,Low,,,,2023-11-22 08:55:50.659354+00:00,,1,FKUSR00326,FKUSR00001,,,,K.S. Layout,,FKKG000318,"2nd Main Road, Maleshwaramma Nagar, T Dasarahalli, Bengaluru, Karnataka. Pin-560057 (India)",13.0486085,77.513748,,,FKUSR01493,2023-11-22 09:06:38.015850+00:00,Bengaluru North Corporation,North Zone 2,,10.789274933333333
FKID004808,unplanned,13.0002741,77.5840717,0.0,0.0,"Unnamed Road, T Agrahara, Bengaluru, Karnataka. Pin-562157 (India)",,vehicle_breakdown,False,2023-11-23 07:55:36.229+00,,closed,yes,2023-12-03 06:37:48.662052+00,,,Front wheel damaged,bmtc_bus,FKN00GL2401,Bellary Road 1,High,,,,2023-11-23 07:56:49.370718+00:00,,1,FKUSR01539,FKUSR00001,,,,Sadashivanagar,,FKKG001463,"Unnamed Road, T Agrahara, Bengaluru, Karnataka. Pin-562157 (India)",13.1827552,77.5739453,FKUSR01539,2023-12-03 06:37:43.321472+00,FKUSR00639,2023-11-23 09:26:33.284882+00:00,Bengaluru West Corporation,West Zone 2,,89.73190273333333
FKID004862,unplanned,13.1843296,77.5664982,0.0,0.0,"Unnamed Road, AV Puram, Adde Vishwanathapura, Bengaluru, Karnataka. Pin-562157 (India)",,vehicle_breakdown,False,2023-11-26 01:26:47.426+00,,resolved,yes,2023-11-26 02:46:00.852939+00,,,BMTC breakdown at near [LOCATION] traffic police station RMZ mall due to tirebrust sir,bmtc_bus,FKN00GL2432,Bellary Road 2,High,,,,2023-11-26 01:41:39.696192+00:00,,1,FKUSR00296,FKUSR00001,,,,Yelahanka,,FKKG000288,"Unnamed Road, AV Puram, Adde Vishwanathapura, Bengaluru, Karnataka. Pin-562157 (India)",13.1843296,77.5664982,,,FKUSR00639,2023-11-26 02:46:00.852433+00:00,,,,64.35260401666667
FKID004952,unplanned,12.8469493,77.672515,0.0,0.0,"Electronics City Phase 2 Road, Abbaiah Reddy Layout, Electronic City, Bengaluru, Karnataka. Pin-560100 (India)",,vehicle_breakdown,False,2024-01-13 05:09:11.633+00,,resolved,yes,2024-01-13 21:29:18.66707+00,,,ನಮಸ್ಕಾರ ಮೇಡಂ ದೇವರ ಬಿಸ್ನಳ್ಳಿ  ಜಂಕ್ಷನ್ ನಿಂದ ಕಾಡ ಬಿಚನಹಳ್ಳಿ ಜಂಕ್ಷನ್ ಕಡೆಗೆ [PERSON] ರಸ್ತೆಯಲ್ಲಿ  ಬಿಎಂಟಿಸಿ ಬಸ್ ಬ್ರೇಕ್ ಡೌನ್ ವಾಗಿದೆ ಮೇಡಂ,bmtc_bus,FKN00GL2479,ORR East 1,High,,,,2024-01-13 05:12:09.133897+00:00,,1,FKUSR00198,FKUSR00001,,,,HAL Old Airport,,FKKG000190,"Electronics City Phase 2 Road, Abbaiah Reddy Layout, Electronic City, Bengaluru, Karnataka. Pin-560100 (India)",12.8469493,77.672515,,,FKUSR01564,2024-01-13 21:29:18.666550+00:00,,,,977.15887755
FKID004970,unplanned,13.0895998,77.3908201,0.0,0.0,"Unnamed Road, Indira Nagar, Nelamangala, Karnataka. Pin-562123 (India)",,vehicle_breakdown,False,2024-01-13 06:23:31.54+00,,resolved,no,2024-01-13 06:51:57.660556+00,,,BMTC off-road near sadashivnagar ps junction signal sir stock 15 towerds sadashivnagar ps junction signal sir [PERSON] idhe sir,bmtc_bus,FKN00GL2490,Non-corridor,Low,,,,2024-01-13 06:27:51.151600+00:00,,1,FKUSR01475,FKUSR00001,,,,Sadashivanagar,,FKKG001413,"Unnamed Road, Indira Nagar, Nelamangala, Karnataka. Pin-562123 (India)",13.0895998,77.3908201,FKUSR01475,2024-01-13 06:49:19.03461+00,FKUSR01566,2024-01-13 06:51:57.660020+00:00,,,,24.108473666666665
FKID005039,unplanned,12.9374294,77.4716733,12.93743,77.4716731,"Dhananayakanahalli Main Road, Ramasandra South Taluka, Bengaluru, Karnataka. Pin-560060 (India)","Dhananayakanahalli Main Road, Ramasandra South Taluka, Bengaluru, Karnataka. Pin-560060 (India)",accident,True,2024-01-26 23:50:10.030182+00,,resolved,yes,2024-01-27 01:11:54.451007+00,,,Cobra 1 attended,,,Non-corridor,Low,,,,2024-01-27 00:31:46.321600+00:00,,1,FKUSR00188,FKUSR00188,FKUSR00188,FKUSR01573,,Jnanabharathi,,,"Dhananayakanahalli Main Road, Ramasandra South Taluka, Bengaluru, Karnataka. Pin-560060 (India)",12.9374294,77.4716733,,,FKUSR00188,2024-01-27 01:11:54.450519+00:00,,,,40.135481983333335
FKID005041,unplanned,12.9374302,77.4716732,,,"Dhananayakanahalli Main Road, Ramasandra South Taluka, Bengaluru, Karnataka. Pin-560060 (India)",,accident,False,2024-01-26 23:55:27.357722+00,,resolved,yes,2024-01-27 01:09:13.315247+00,,,Attended cobra 2,,,Non-corridor,Low,,,,2024-01-27 00:31:37.123709+00:00,,1,FKUSR00188,FKUSR00188,FKUSR00188,FKUSR01575,,Jnanabharathi,,,"Dhananayakanahalli Main Road, Ramasandra South Taluka, Bengaluru, Karnataka. Pin-560060 (India)",12.9374302,77.4716732,,,FKUSR00188,2024-01-27 01:09:13.314752+00:00,,,,37.603184049999996
